stock name,last traded price,haircut percentage,post haircut value
SUNPHARMA,1705.0,0.09,1551550.0
APOLLO,117.86,0.2305,90693.27
LIQUIDCASE,108.07,0.05,102666.49999999999
RAMCOCEM,969.3,0.2,775440.0
GLAND,1426.3,0.2,1141040.0
BEL,293.7,0.1478,250291.14
SKIPPER,443.9,0.25579999999999997,330350.37999999995
CONCOR,696.05,0.2,556840.0
GMRAIRPORT,86.03,0.2,68824.0
SGBDEC25XI,9236.0,0.1,8312400.0
INDGN,579.85,0.2,463880.00000000006
SAMMAANCAP,114.63,0.2,91704.00000000001
FMCGIETF,58.92,0.2,47136.0
GAIL,178.99,0.2,143192.0
PATANJALI,1933.3,0.2,1546640.0
CREDITACC,1051.75,0.2,841400.0000000001
DELHIVERY,258.6,0.2,206880.00000000003
ABFRL,263.65,0.2,210920.0
FINPIPE,179.88,0.2,143904.0
SGBJU29III,8739.34,0.1,7865406.0
IOB,35.43,0.20170000000000002,28283.769
TMB,425.05,0.2,340040.0
SCHAEFFLER,3137.6,0.2,2510080.0
ICICIPRULI,567.15,0.2,453720.0
GRWRHITECH,2914.7,0.2957,2052823.2099999995
CHOICEIN,533.65,0.2,426920.0
ISEC,896.2,1.0,0.0
SUZLON,54.37,0.2,43496.0
ABCAPITAL,190.64,0.2,152512.0
UTIAMC,1019.9,0.2,815920.0000000001
TIMETECHNO,358.4,0.21660000000000001,280770.56
BAJAJCON,173.01,0.2,138408.0
MANINFRA,153.01,0.2,122408.0
BALUFORGE,636.0,0.2526,475346.4
DIXON,14931.0,0.2,11944800.000000002
CONCORDBIO,1733.1,0.2,1386480.0
MSUMI,53.05,0.2,42440.0
CYIENT,1186.9,0.2,949520.0000000001
SGBMAY28,9005.29,0.1,8104761.000000001
SHRIPISTON,1847.1,0.2,1477680.0
NATIONALUM,151.42,0.2,121136.0
KSCL,1568.8,0.2,1255040.0
MEDIASSIST,459.75,0.2,367800.0
BHARTIARTL,1798.8,0.09,1636908.0
DALBHARAT,1869.2,0.2,1495360.0000000002
BEPL,110.57,0.2,88456.0
SILVER,95.94,0.2,76752.0
NIVABUPA,74.57,0.2,59656.0
PRAJIND,517.25,0.2,413800.0
MRPL,132.5,0.2057,105244.75
LIQUID1,1045.28,0.05,993016.0
DCW,80.42,0.2113,63427.254
BHARATFORG,1073.1,0.2,858480.0
VEDL,395.8,0.2,316640.00000000006
GPIL,194.27,0.2,155416.00000000003
AMBUJACEM,558.05,0.2,446440.0
VOLTAS,1289.3,0.2,1031440.0
NAM-INDIA,581.25,0.2,465000.0
CANFINHOME,666.5,0.2,533200.0
SILVERIETF,96.08,0.2,76864.0
TATAINVEST,6226.5,0.2,4981200.000000001
MAPMYINDIA,1725.5,0.2,1380400.0
DLF,662.8,0.2,530240.0
AGARWALEYE,410.4,0.2,328320.0
CARBORUNIV,990.9,0.2,792720.0
NESCO,968.8,0.2,775040.0
GOLDETF,91.34,0.2,73072.0
SGBJUN27,8800.0,0.1,7920000.0
MAHSEAMLES,681.1,0.2,544880.0
VBL,550.6,0.2,440480.0
BALAMINES,1281.1,0.2,1024879.9999999999
NAVINFLUOR,4176.9,0.2,3341520.0
SGBJUL29IV,8760.16,0.1,7884144.0
JMFINANCIL,97.56,0.2,78048.0
AZAD,1463.2,0.2,1170560.0000000002
LIQUIDIETF,1000.0,0.05,950000.0
LALPATHLAB,2752.8,0.2,2202240.0000000005
JKPAPER,323.95,0.2,259160.00000000003
EMSLIMITED,662.2,0.201,529097.8
INDIACEM,285.95,0.2,228760.0
BLUEDART,6337.5,0.2,5070000.0
RELIGARE,220.3,0.2,176240.0
HITECH,98.95,0.2,79160.00000000001
MOM100,55.75,0.07429999999999999,51607.774999999994
RALLIS,226.9,0.2,181520.0
EMIL,124.16,0.2,99328.0
FINEORG,4344.7,0.2,3475760.0
CIPLA,1481.8,0.0989,1335249.98
